"","occ","n_years","n_years_explicit","min_year","max_year","year","n_months","n_months_explicit","min_month","max_month","month","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"869",6355,9,9,2011,2019,2015,12,12,1,12,6.5,843638.452007407,838632.909472222,785557.109609259,53075.799862963,819708.053785185,18924.855687037,0.0225367649542475,1051.51522932714,910.207962962963,42.2836119938515,41.2777777777778,80.9477921232839,80.6666666666667
"870",6360,17,17,2003,2019,2011,12,12,1,12,6.5,49794.3077882353,49473.3383367647,45253.4485029412,4219.88983382353,48363.0480063725,1110.29033039216,0.0224779949934824,787.371971619203,653.078970588235,40.857284928447,38.8578431372549,73.9812819467231,73.2647058823529
"871",6400,17,17,2003,2019,2011,12,12,1,12,6.5,53557.5807107843,53268.744529902,47760.7685808824,5507.97594901961,51014.1529289216,2254.59160098039,0.0430296390552751,772.992139322143,631.348823529412,37.9021239846552,35.6151960784314,67.1668436031282,71.6127450980392
"872",6420,17,17,2003,2019,2011,12,12,1,12,6.5,683462.176921569,675628.252963725,602712.506559314,72915.7464044118,628772.350847549,46855.9021161765,0.069334827118005,639.870018475955,527.795171568627,41.028866977634,39.1617647058824,67.0894027735567,73
"873",6430,10,10,2003,2012,2007.5,10.3,10.3,1.3,11,6.11292929292929,9251.14083562626,9183.16332812626,8868.0772769596,315.086051166667,5996.76890540909,3186.39442271717,0.434101093413244,562.353209848485,554.105543181818,47.7949887265512,44.9567424242424,79.2313672587268,75.2213383838384
"874",6440,17,17,2003,2019,2011,12,12,1,12,6.5,651044.226886765,646359.42104853,595078.052679412,51281.3683691176,635986.948101961,10372.4729465686,0.0159026936991281,923.122410471345,796.647892156863,41.5920871142032,40.3774509803922,74.2896688441387,73
"875",6460,17,17,2003,2019,2011,12,12,1,12,6.5,44213.5065014706,43890.8025441176,38693.5398318627,5197.2627122549,43253.0593789216,637.743165196078,0.0197071150560823,648.438027143336,577.842671568627,38.7923389062545,36.1764705882353,57.9056448406843,61.0490196078431
"876",6500,17,17,2003,2019,2011,11.7647058823529,11.7647058823529,1,12,6.55454545454545,10753.2576965062,10644.3229049376,9148.87462701426,1495.44827792335,10445.23176082,199.091144117647,0.0147253717718105,896.767024064171,855.981648841355,37.9728740486093,33.7715240641711,66.1910017321661,62.5856951871658
"877",6510,8,8,2003,2010,2006.5,12,12,1,12,6.5,289299.671461458,285882.478636458,242252.5279375,43629.9506989583,282278.722839583,3603.755796875,0.0126283408766225,598.197481493456,487.818072916667,35.5927240778475,33.1770833333333,60.4256205928936,71.8958333333333
"878",6515,9,9,2011,2019,2015,12,12,1,12,6.5,250108.414646296,247629.582057407,213145.479884259,34484.1021731482,243774.671005556,3854.91105185185,0.0156799768020318,690.517518279621,567.545601851852,38.1336200069945,35.3055555555556,61.8339607666567,72.4814814814815
"879",6520,17,17,2003,2019,2011,12,12,1,12,6.5,145258.185729412,144166.623385294,131231.147406863,12935.4759784314,138648.892945098,5517.73044019608,0.0386423540709322,880.768199572427,747.025514705882,41.5308858796845,40.3602941176471,75.1831470899748,73.3725490196078
"880",6530,17,17,2003,2019,2011,12,12,1,12,6.5,73273.7205691176,72665.2457078431,62580.1835269608,10085.0621808824,71483.5607034314,1181.68500441176,0.0163703717740734,928.539472963691,795.527745098039,39.8974596241054,38.2230392156863,74.6984967821777,73.2941176470588
"881",6540,2,2,2011,2012,2011.5,7.5,7.5,1,8,4.38636363636364,11438.8428227273,11118.1018,5434.57253636364,5683.52926363636,11118.1018,0,0,458.244318181818,458.244318181818,32.4005681818182,28.7102272727273,73.8343947527179,66.9715909090909
"882",6600,17,17,2003,2019,2011,12,12,1,12,6.5,96854.8321147059,95482.6285901961,78717.6279794118,16765.0006107843,90773.5415303922,4709.08705980392,0.0486488336034558,576.592622712427,455.125882352941,32.9605549333157,28.7132352941176,66.8095289328134,72.781862745098
"883",6660,17,17,2003,2019,2011,12,12,1,12,6.5,103402.759359314,102512.669829902,98296.9764338235,4215.69339607843,92592.7063078431,9919.96352205882,0.0958664412361096,952.04520576906,856.275759803922,48.901043082875,48.906862745098,88.3656058915718,83.3946078431373
