"","occ2010","n_years","n_years_explicit","min_year","max_year","year","n_months","n_months_explicit","min_month","max_month","month","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"368",7315,20,20,2000,2019,2009.5,12,12,1,12,6.5,410618.157307917,408417.599065417,388917.413881667,19500.18518375,402891.971895,5525.62717041667,0.0133445160015405,843.36540268966,754.575833333333,40.7930813739102,39.40625,77.9732854693281,74.3833333333333
"369",7320,20,20,2000,2019,2009.5,12,12,1,12,6.5,50394.5980883333,50106.31998375,48323.8757291667,1782.44425458333,48065.2251141667,2041.09486958333,0.041293482291564,760.633681018518,653.262354166667,44.7069720986058,42.9,78.0885935617094,75.0625
"370",7330,20,20,2000,2019,2009.5,12,12,1,12,6.5,461498.315053333,458796.347652083,440571.971765417,18224.3758866667,443368.000460833,15428.34719125,0.0337180597382117,894.632808253792,809.048729166667,44.8413883817586,45.0416666666667,77.1015368291925,73.6
"371",7340,20,20,2000,2019,2009.5,12,12,1,12,6.5,447086.8245775,443635.885766667,423850.765407917,19785.12035875,427875.33097875,15760.5547879167,0.0360903894376844,771.05536114918,692.7616875,45.0695221124336,45.04375,76.3089229089739,73.15
"372",7350,20,20,2000,2019,2009.5,12,12,1,12,6.5,36090.4553220833,35880.25156,33827.8482229167,2052.40333708333,34510.9734504167,1369.27810958333,0.0363460236794555,828.698593378728,719.707625,42.9896110100869,41.66875,75.7472707784917,74.1541666666667
"373",7360,20,20,2000,2019,2009.5,12,12,1,12,6.5,64961.173705,64286.7058433333,58399.9445020833,5886.76134125,62411.32142875,1875.38441458333,0.0290825308762848,1054.99687736222,914.322166666667,45.536863320284,45.5875,77.8910593104517,74.5208333333333
"374",7410,20,20,2000,2019,2009.5,12,12,1,12,6.5,127376.988825833,126429.968316667,121583.7825975,4846.18571916667,124299.211327083,2130.75698958333,0.0166382215367625,1097.18769122203,965.374729166667,40.7326039026295,39.38125,78.6585281305236,75.0208333333333
"375",7420,20,20,2000,2019,2009.5,12,12,1,12,6.5,172404.118515,171547.616371667,162023.232935,9524.38343666667,162951.93728125,8595.67909041667,0.0493448876683321,937.493675266043,828.429625,39.6804945015223,37.7479166666667,80.1734205234123,77.1666666666667
"376",7430,20,20,2000,2019,2009.5,12,12,1,12,6.5,63220.0192225,62835.8012579167,61059.8761791667,1775.92507875,54674.3112970833,8161.48996083333,0.129891331585004,888.266512474909,748.669854166667,47.023534071902,45.7666666666667,87.2293308995196,83.6479166666667
"377",7510,17,17,2003,2019,2011,12,12,1,12,6.5,47626.2913862745,47230.9537642157,44692.5838406863,2538.36992352941,40075.4223151961,7155.53144901961,0.145549356494969,688.864115364075,585.058039215686,43.5363589139866,41.546568627451,80.2583692763256,76.0024509803922
"378",7540,20,20,2000,2019,2009.5,12,12,1,12,6.5,30115.4497845833,29821.04145875,29106.76890125,714.2725575,28363.0613208333,1457.98013791667,0.0463768887252968,769.463255456349,701.162791666667,46.2244246306985,43.23125,77.3200298013796,75.1354166666667
"379",7560,17,17,2003,2019,2011,12,12,1,12,6.5,11404.5421406863,11386.9702323529,10392.4460671569,994.524165196078,11115.2179627451,271.752269607843,0.0229477693702599,1017.46669444444,920.075073529412,39.9982957402075,36.8357843137255,74.9846133231636,72.1053921568627
"380",7610,20,20,2000,2019,2009.5,12,12,1,12,6.5,27007.3354820833,26591.1250695833,23261.6347816667,3329.49028791667,24152.37221,2438.75285958333,0.0887644078791048,507.665289616402,447.655,35.1744341101661,30.6041666666667,68.0772262673529,69.21875
"381",7630,20,20,2000,2019,2009.5,12,12,1,12,6.5,282760.95670125,280199.48913125,262552.88465875,17646.6044725,262117.56683625,18081.922295,0.0643028155807884,755.121659382462,640.3205625,42.6612644439858,41.3916666666667,76.6856011392612,74.15
"382",7700,20,20,2000,2019,2009.5,12,12,1,12,6.5,898428.199809583,893879.856207917,861792.304969583,32087.5512383333,717270.08352125,176609.772686667,0.197325920043742,926.808611819608,820.705854166667,44.949521039663,44.94375,80.2921700642447,73.9166666666667
"383",7710,17,17,2003,2019,2011,11.6470588235294,11.6470588235294,1,12,6.58092691622103,14376.8411092216,14240.7659807903,13444.2424705853,796.523510204991,10070.7873032472,4169.97867754308,0.318720251344948,823.820477714823,737.00006684492,43.3989689184326,39.5402257872846,75.7368232601416,73.5100118835413
"384",7720,20,20,2000,2019,2009.5,12,12,1,12,6.5,211424.802284167,208950.730908333,185879.070404167,23071.6605041667,93247.46379875,115703.267109583,0.538395615363635,569.66457896976,496.131666666667,43.1568140487612,43.0541666666667,72.8976546997524,73.05
