"","year","soc_2010_major","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"407",2016,"41-0000",16225705.22,16059681.67,15278891.81,780789.86,8065488.95000001,7994192.72000001,0.497780272627284,791.551002615519,560,40.8786227683747,40,87.690023047636,81
"408",2017,"41-0000",16293028.29,16059359.66,15404507.4200001,654852.24,7953157.73999999,8106201.92,0.504764952751547,800.309823677582,577,40.840251572327,40,88.0845879311972,81
"409",2018,"41-0000",15994174.3699999,15798103.4099999,15070686.3199999,727417.09,7956933.01999999,7841170.38999998,0.496336185838398,881.888888888889,654,41.3528481012658,40,88.1425524641508,81
"410",2019,"41-0000",15978768.87,15818486.75,15132130.6,686356.15,7963742.32999999,7854744.42000002,0.496554730179865,867.946519524618,673,41.6117560796774,41,88.3622393172341,81
"411",2020,"41-0000",15007504.4302,14813854.3084,14037758.8793,776095.4291,7441937.9769,7371916.3315,0.497636616239695,930.249772105743,692,42.0522770537414,40,89.4788201493096,81
"412",2021,"41-0000",15023718.3155,14850944.9444,13912387.013,938557.9314,7538249.42250001,7312695.52190002,0.492406075793681,972.004980079681,749,41.94440433213,40,89.1394800722011,81
"413",2022,"41-0000",14874050.99,14639436.04,14034488.57,604947.47,7315214.21,7324221.83,0.500307649146299,973.046858359957,769,41.471580262336,40,88.6336749731784,81
"414",2023,"41-0000",14411497.25,14289897.07,13766096.52,523800.55,7213771.20000001,7076125.87000002,0.495183823601887,1074.69007263923,800,42.1033439758024,40,88.5070703906763,81
"415",2024,"41-0000",14467161.07,14302680.05,13652545.22,650134.83,7394194.02,6908486.02999998,0.483020385399727,1074.69007263923,800,42.504509103284,41,88.8285049584113,81
"416",2025,"41-0000",14358925.22,14196255.89,13566468.69,629787.2,7399695.03999999,6796560.84999999,0.478757279571691,1074.69007263923,800,41.9383213597337,40,89.3377341770358,81
"417",2000,"43-0000",19042358.01,18787412.6,18160042.72,627369.88,4463829.92999999,14323582.67,0.762403156568777,451.161823647295,410,39.3732121077725,38,81.3110400258096,81
"418",2001,"43-0000",19252251.4300001,19013954.3400001,18224124.2200001,789830.120000001,4528914.90000001,14485039.4400001,0.761810993178183,461.973477998794,424,38.8531434184676,39,81.4345149957894,81
"419",2002,"43-0000",18931333.25,18703765.82,17651624.26,1052141.56,4561026.36,14142739.46,0.756143954971738,477.451907401369,442.5,39.2380575539568,39,81.7093706132602,81
"420",2003,"43-0000",20602594.99,20380616.39,19363490.8000001,1017125.59,4870387.25,15510229.14,0.761028461710819,520.459442913988,480,39.8022428149342,40,82.7353758087193,81
"421",2004,"43-0000",20479168.4400001,20223087.3700001,19132165.1900002,1090922.18,4792836.51,15430250.86,0.763001740421201,524.704792332268,480,40.1865770872699,40,82.629590170237,81
"422",2005,"43-0000",20311222.4299999,20023696.98,19043056.21,980640.769999999,4811847.39000001,15211849.5900001,0.759692358768406,531.941176470588,481.5,40.2814676527608,41,82.9414014878885,81
"423",2006,"43-0000",20305944.0400001,20019013.09,19135641.0299999,883372.06,4952502.05,15066511.04,0.752610079840853,560.310511089682,507.5,40.517377624936,41,83.4053181334924,81
"424",2007,"43-0000",20336632.16,20076093.89,19318465.4899999,757628.4,5007940.38,15068153.51,0.750552054227317,583.174581005587,510.5,40.87287503728,42,83.059307238078,81
"425",2008,"43-0000",20517315.39,20287366.46,19348625.6299999,938740.83,5032776.57,15254589.89,0.751925584825267,615.686468646865,553.5,40.8485252704906,41,84.0094026659581,81
"426",2009,"43-0000",19729450.9599999,19506095.1099999,18021312.96,1484782.15,5017038.46,14489056.65,0.742796370482785,602.364055299539,554,41.2790679790834,42,83.8826785588258,81
"427",2010,"43-0000",19683700.6899999,19459084.14,17782351.09,1676733.05,5000088.9,14458995.24,0.743046031147898,614.640082858622,540,41.5302218821729,42,84.2681385897949,81
"428",2011,"43-0000",19775104.1700001,19562828.2200001,17900335.5600001,1662492.66,5262158.07,14300670.15,0.731012407264291,622.428874734607,553,41.7942241107963,43,84.8542873628519,81
"429",2012,"43-0000",19752356.5300001,19547835.6200001,17932984.8600001,1614850.76,5325651.04,14222184.58,0.727558020052555,637.174603174603,577,41.9249180327869,42,85.254960915207,81
"430",2013,"43-0000",19744315.1200001,19527228.2000001,18078473.94,1448754.26,5245528.68000001,14281699.52,0.731373617070753,646.662657189721,577,42.3029874344678,43,85.7280379173312,81
"431",2014,"43-0000",38181676.3499999,37698059.59,35418096.13,2279963.46,10233136.95,27464922.64,0.728550035166413,692.030432461292,600,42.5359197907585,43,86.1878252216962,81
"432",2015,"43-0000",19118248.85,18882668.46,17884885.94,997782.52,5414939.98,13467728.48,0.713232269503079,663.404196576477,580,41.8915123321338,42,85.9628385526393,81
"433",2016,"43-0000",18721630.73,18506352.73,17475682.96,1030669.77,5161082.79000002,13345269.94,0.721118317299034,711.865301055245,602,42.1274671852212,42,86.0919516754505,81
"434",2017,"43-0000",18472042.48,18190198.7,17377169.11,813029.589999999,5171823.79999999,13018374.9,0.715680741849182,713.053968253968,625,42.1758954404869,42,86.4266457518136,81
"435",2018,"43-0000",18373356.35,18126973.48,17471313.55,655659.93,5301476.39999997,12825497.08,0.707536594244525,724.083109919571,630,41.8750258211113,41,86.9695295532589,81
"436",2019,"43-0000",18311861.2400001,18057792.83,17419543.38,638249.45,5257761.27,12800031.56,0.708836992455406,736.919270833333,657.5,42.1846982089243,41,87.5897516130714,81
"437",2020,"43-0000",18549236.5747,18269634.5409,17459370.8499,810263.691000001,5652957.7689,12616676.7719999,0.690581781685626,761.349217638691,680,42.9067093409199,42,87.6590506474365,81
"438",2021,"43-0000",18980967.2551999,18656777.7234999,17482407.7852999,1174369.9382,5820805.5675,12835972.156,0.688005846788422,771.52649930265,700,42.0256583389602,40,87.3895605297077,81
"439",2022,"43-0000",19078900.8800002,18840929.1100002,18032250.2200001,808678.89,6051317.03999999,12789612.07,0.678820667246808,841.15716374269,730.5,42.3279922311241,41,87.3358364214971,81
"440",2023,"43-0000",18141640.6299999,17972896.4199999,17221512.65,751383.770000001,5680685.72000001,12292210.7,0.683930425722667,894.372244897959,800,42.3747690683558,40,87.3502463049307,81
"441",2024,"43-0000",18104735.56,17868057.26,17115278.9,752778.36,5695846.85000002,12172210.41,0.681227412296752,894.372244897959,800,42.7617445147395,41,87.3583956877255,81
"442",2025,"43-0000",19142339.71,18940854.1,18122800.7800001,818053.32,6171504.76000001,12769349.34,0.674169669043595,894.372244897959,800,42.8016993464052,41,88.0780421533365,81
"443",2000,"45-0000",1209867,1197158.08,1040376.56,156781.52,918806.26,278351.82,0.232510496859362,316.247422680412,280,38.566091954023,37,53.5491640168356,60
"444",2001,"45-0000",1105273.56,1083140.17,848360.16,234780.01,834714.93,248425.24,0.229356501476628,436.534653465347,350,38.1560364464693,36,51.2143421658897,60
"445",2002,"45-0000",1091984.58,1067286.84,824747.84,242539,820218.95,247067.89,0.2314915547914,402.368,338.5,37.4586374695864,36,52.9261510242176,60
"446",2003,"45-0000",1004288.12,981927.750000001,820174.72,161753.03,740257.27,241670.48,0.246118393130248,387.524137931034,350,38.8302122347066,37,55.5103934378063,73
"447",2004,"45-0000",1038480.59,1022548.56,848737.05,173811.51,800249.8,222298.76,0.217396775758014,383.428571428571,320,38.9085439229844,38,56.233674594388,73
"448",2005,"45-0000",1048645.06,1034871.57,893037.919999999,141833.65,792004.67,242866.9,0.234683130777281,394.525252525253,327.5,39.0271604938272,38,55.1692900115132,73
"449",2006,"45-0000",1003363.13,957015.389999999,832904.499999999,124110.89,758220.65,198794.74,0.207723660535908,405.518072289157,396.5,39.4841571609632,39,56.4901515742605,73
"450",2007,"45-0000",1008149.45,982922.56,852832.87,130089.69,777675.02,205247.54,0.208813540712709,397.154639175258,320,39.6732919254658,39,58.0831966457256,73
