,id,label,u_perc_change,ltu_perc_change
238,238,first-line supervisors of retail sales workers,-2.808980181513788,-7.447679396358922
239,239,first-line supervisors of non-retail sales workers,-3.107241120931403,-8.098325730149302
240,240,cashiers,20.34872280977735,14.387102778959342
241,241,counter and rental clerks,30.479877121812727,23.615062358249496
242,242,parts salespersons,32.18027223381903,25.169159474668888
243,243,retail salespersons,22.97014193100563,16.770201182441163
244,244,advertising sales agents,-2.2583211335069953,-6.246434971078954
245,245,insurance sales agents,22.970141931005465,16.770201182441156
246,246,"securities, commodities, and financial services sales agents",-3.1784088390264467,-8.253575743621184
247,247,travel agents,-3.076647404657173,-8.031586554145534
248,248,"sales representatives, services, all other",-3.196780952912373,-8.2936538999071
249,249,"sales representatives, wholesale and manufacturing",-2.2314826706654802,-6.187887755723034
250,250,"models, demonstrators, and product promoters",5.265417332382039,0.7469868603426986
251,251,real estate brokers and sales agents,22.295610137853586,16.15662412400386
252,252,sales engineers,-3.192109095534377,-8.283462398193919
253,253,telemarketers,33.9689717134763,26.80664133126986
254,254,"door-to-door sales workers, news and street vendors, and related workers",25.79611232058582,19.34276335009155
255,255,first-line supervisors of office and administrative support workers,-3.180726143648726,-8.258630866694867
256,256,"switchboard operators, including answering service",28.85402855921092,22.130801983260433
257,257,telephone operators,30.479877121812756,23.61506235824967
258,258,bill and account collectors,27.293973495219554,20.707839415045193
259,259,billing and posting clerks ,28.85402855921121,22.130801983260504
260,260,"bookkeeping, accounting, and auditing clerks",32.18027223381903,25.169159474668877
261,261,gaming cage workers,-2.605865772322405,-7.004592058344099
262,262,payroll and timekeeping clerks,30.479877121812674,23.615062358249524
263,263,procurement clerks,32.1802722338191,25.169159474668838
264,264,tellers,32.18027223381894,25.169159474668863
265,265,brokerage clerks,32.180272233819046,25.16915947466899
266,266,correspondence clerks and order clerks,22.970141931005486,16.77020118244114
267,267,"court, municipal, and license clerks",-2.4554689536883676,-6.676506393325278
268,268,"credit authorizers, checkers, and clerks",30.47987712181271,23.615062358249514
269,269,customer service representatives,-2.231482670665331,-6.187887755723115
270,270,"eligibility interviewers, government programs",2.26783025775138,-1.943556936909845
271,271,file clerks,30.47987712181284,23.61506235824965
272,272,"hotel, motel, and resort desk clerks",25.79611232058541,19.342763350091257
273,273,"interviewers, except eligibility and loan",25.79611232058574,19.342763350091516
274,274,"library assistants, clerical",27.29397349521989,20.707839415045246
275,275,loan interviewers and clerks,22.970141931005486,16.77020118244105
276,276,new accounts clerks,33.968971713476385,26.806641331270054
277,277,"human resources assistants, except payroll and timekeeping",20.34872280977711,14.387102778959028
278,278,receptionists and information clerks,28.854028559210857,22.130801983260405
279,279,reservation and transportation ticket agents and travel clerks,-1.84723998061104,-5.648252891590668
280,280,cargo and freight agents,33.96897171347658,26.806641331270175
281,281,couriers and messengers,25.796112320585795,19.342763350091463
282,282,dispatchers,3.865037592401881,-0.5109604018780047
283,283,"meter readers, utilities",14.563457349927825,9.13931342471152
284,284,postal service clerks,27.293973495219557,20.707839415045125
285,285,postal service mail carriers,1.116369889695839,-2.975119185444032
286,286,"postal service mail sorters, processors, and processing machine operators",8.832939975992401,3.9596427923473034
287,287,"production, planning, and expediting clerks",17.91055151604523,12.17340554292479
288,288,"shipping, receiving, and traffic clerks",32.180272233818876,25.169159474668813
