"","date","ue","eu","ee","en","un","ne","nu","u","Etotal","Utotal","LFtotal","NILFtotal","EEtotal","ENtotal","EUtotal","UEtotal","UNtotal","NEtotal","NUtotal","EE","EU","EN","UE","UN","NE","NU"
"54","2000-06-01",0.320870601650461,0.0122080157618702,0.0300217390981519,0,0,0,0,0.0417053977145694,98957284.7025001,4306664.0524,103263948.7549,51535968.8563002,2970869.7832,0,1208072.0914,1381881.8856,0,0,0,0.0287696705289806,0.0116988756092157,0,0.0133820360567456,0,0,0
"55","2000-07-01",0.318903696050243,0.0119813672561931,0.0287300040269324,1,1,0,0,0.0419869433800167,99166383.2844996,4346175.9643,103512559.2488,51482199.4936,2849050.5911,99166383.2844996,1188148.8576,1386011.5787,4346175.9643,0,0,0.0275237189745458,0.0114783062675921,0.958013056619977,0.0133897914297396,0.0419869433800167,0,0
"56","2000-08-01",0.38010093993576,0.0115405897974012,0.0351274740521598,1,1,0,0,0.0404532413926961,98644453.670501,4158721.6679,102803175.338401,51550595.5269998,3465130.4867,98644453.670501,1138415.1756,1580734.0149,4158721.6679,0,0,0.0337064538648121,0.0110737355325128,0.959546758607304,0.015376315076812,0.0404532413926961,0,0
"57","2000-09-01",0.34259398191385,0.009809711204442,0.0284700918459716,1,1,0,0,0.0377717483897573,99176524.7747006,3893120.71610001,103069645.490801,52841153.2272006,2823564.7693,99176524.7747006,972893.0663,1333759.7282,3893120.71610001,0,0,0.0273947267001322,0.00943918126105163,0.962228251610242,0.012940373684695,0.0377717483897573,0,0
"58","2000-10-01",0.322386637397297,0.011692101193821,0.0281322690910028,0,0,0,0,0.0379107642873341,98838781.0491005,3894704.973,102733486.022101,52616253.7637001,2780559.1851,0,1155633.0299,1255600.8399,0,0,0,0.0270657532686259,0.0112488447014384,0,0.0122219238197552,0,0,0
"59","2000-11-01",0.246053041585968,0.00925151741816539,0.0204316334807428,1,1,0,0,0.0385868771714862,100143125.0922,4019302.8114,104162427.9036,53548888.9709002,2046087.6275,100143125.0922,926475.8661,988961.681799999,4019302.8114,0,0,0.0196432405492085,0.00889453025190076,0.961413122828512,0.00949441849334832,0.0385868771714862,0,0
"60","2000-12-01",0.267141448411037,0.0170353177182435,0.0277116736234687,0,0,0,0,0.0370230598876012,99726418.3914011,3834128.323,103560546.714401,52978068.8545996,2763585.9581,0,1698871.2222,1024254.5936,0,0,0,0.0266857026713213,0.0164046181301566,0,0.00989039384298233,0,0,0
"61","2001-01-01",0.319615263428079,0.013569070826717,0.0287760191353577,0,0,0,0,0.0461417139732772,98276535.8682005,4754005.78339999,103030541.651601,53146369.6240998,2828007.4767,0,1333521.2758,1519452.8108,0,0,0,0.0274482442911243,0.0129429706417474,0,0.0147475960665921,0,0,0
"62","2001-02-01",0.29011195538925,0.0109698415217118,0.0242620790470029,1,1,0,0,0.045593497023867,97773992.4844996,4670817.12190001,102444809.6064,53155533.0053,2372200.3344,97773992.4844996,1072565.2025,1355059.8885,4670817.12190001,0,0,0.0231558860181805,0.0104696880849393,0.95440650297613,0.013227218574628,0.045593497023867,0,0
"63","2001-03-01",0.292389775731971,0.0110342153610723,0.0226840353989878,0,0,0,0,0.0459848279007255,98751238.8823003,4759943.9273,103511182.8096,53040098.3811005,2240076.5985,0,1089642.437,1391758.9374,0,0,0,0.0216409139350714,0.0105268088666739,0,0.0134454935169664,0,0,0
"64","2001-04-01",0.327337968666324,0.0110225402719017,0.0229524120610448,0,0,0,0,0.0429836287831302,86738265.3468001,3895780.1675,90634045.5143001,47936908.7578999,1990852.4077,0,956076.0229,1275236.7664,0,0,0,0.0219658341013354,0.0105487514926072,0,0.0140701737317772,0,0,0
"65","2001-05-01",0.34877459845614,0.013963364162075,0.0294020770459414,0,0,0,0,0.0424200977260311,97269621.3988997,4308973.94119999,101578595.3401,53190673.2135003,2859928.9026,0,1358211.1455,1502860.6561,0,0,0,0.0281548380643043,0.0133710368897357,0,0.0147950525508667,0,0,0
"66","2001-06-01",0.289318413677868,0.0132284788389266,0.02912965824573,0,0,0,0,0.0480820602249548,97925493.6545006,4946287.16060001,102871780.8151,51706192.4921002,2852536.1637,0,1295405.3206,1431051.9549,0,0,0,0.0277290442636265,0.0125924263227088,0,0.0139110253906476,0,0,0
"67","2001-07-01",0.327770379752677,0.014213459551604,0.0315803752309509,1,1,0,0,0.0483856385104501,98895924.7462991,5028447.088,103924371.834299,51720961.6553997,3123170.41230001,98895924.7462991,1405653.2262,1648176.0116,5028447.088,0,0,0.0300523386110017,0.0135257322357572,0.951614361489549,0.015859379109146,0.0483856385104501,0,0
"68","2001-08-01",0.316093140530681,0.0115967220031926,0.0291603902118157,0,0,0,0,0.0492053227655457,98743085.2257005,5110131.0259,103853216.2516,53669231.4169001,2879386.8959,0,1145096.1091,1615277.3645,0,0,0,0.0277255437994742,0.0110261015540032,0,0.0155534650037872,0,0,0
