"","occ_code","occ_title","occ_group","tot_emp","emp_prse","year"
"92","17-2151","Mining and Geological Engineers, Including Mining Safety Engineers",NA,6690,8,2000
"93","17-2161","Nuclear Engineers",NA,12610,7.7,2000
"94","17-2171","Petroleum Engineers",NA,10250,12.7,2000
"95","17-3011","Architectural and Civil Drafters",NA,92610,3.3,2000
"96","17-3012","Electrical and Electronics Drafters",NA,38470,4.9,2000
"97","17-3013","Mechanical Drafters",NA,69620,2.4,2000
"98","17-3021","Aerospace Engineering and Operations Technicians",NA,19850,7.9,2000
"99","17-3022","Civil Engineering Technicians",NA,89200,3,2000
"100","17-3023","Electrical and Electronic Engineering Technicians",NA,244570,3.2,2000
"101","17-3024","Electro-Mechanical Technicians",NA,40770,4.6,2000
"102","17-3025","Environmental Engineering Technicians",NA,17530,5.2,2000
"103","17-3026","Industrial Engineering Technicians",NA,65220,3,2000
"104","17-3027","Mechanical Engineering Technicians",NA,58490,4.6,2000
"105","17-3031","Surveying and Mapping Technicians",NA,51640,3.8,2000
"106","19-0000","Life, Physical, and Social Science Occupations","major",1038670,1.4,2000
"107","19-1010","Agricultural and Food Scientists",NA,21050,2.2,2000
"108","19-1021","Biochemists and Biophysicists",NA,13440,8.9,2000
"109","19-1022","Microbiologists",NA,15880,5.6,2000
