X.1,year,SOC_minor,lf_total,lf,emp,unemp,male,female,female_share,mean_weekly_earnings,median_weekly_earnings,mean_age,median_age,mean_educ,median_educ,id,h_mean,a_mean,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,mu,sigma
53,2012,39-9000,3107446.06,3047173.54,2787453.65,259719.89,432416.91,2614756.63,0.858092457051199,365.511111111111,282,40.3222862632085,39,80.0664925142399,81,53,13.56,28204,9.001,10.256,12.034,14.825,19.876,18720,21332,25028,30835,41340,10.179810663906336,0.30129162624288464
54,2012,41-1000,4620277.17000001,4596457.37,4387693.59,208763.78,2823196.97,1773260.4,0.38578850128659,865.421487603306,694,43.3070175438597,43,87.8818871608505,81,54,25.28,52579.166666666664,12.850833333333334,15.965,20.941666666666666,28.979166666666668,42.11083333333333,26732.5,33203.333333333336,43559.166666666664,60275.833333333336,87588.33333333333,10.734601189133867,0.4584655372953138
55,2012,41-2000,7358560.36000001,7235160.41000001,6410287.03,824873.379999999,2822289.86,4412870.55000001,0.609920209080755,447.121451104101,311,35.3852035079829,30,80.9288280562115,81,55,13.093333333333334,27235.833333333332,9.001666666666667,10.061666666666667,11.5825,13.984166666666667,18.636666666666667,18719.166666666668,20926.666666666668,24091.666666666668,29085.833333333332,38759.166666666664,10.143766625369736,0.2753044989763509
56,2012,41-3000,1750716.19,1740995.66,1615305.47,125690.19,1088364.2,652631.46,0.374861049337711,1093.94202898551,814,43.172281039461,42,96.8182304314303,111,56,35.08,72966.66666666667,13.781666666666666,18.365833333333335,26.55,40.9975,65.755,28666.666666666668,38202.5,55221.666666666664,85273.33333333333,136770,10.982586043147517,0.6065141340308013
57,2012,41-4000,1289421.51,1275643.06,1204251.6,71391.46,911156.179999999,364486.88,0.285727952770739,1210.69911504425,1336.5,43.5966921119593,44,95.082932877791,92,57,36.016666666666666,74915,15.0475,20.906666666666666,29.965833333333332,44.28333333333333,63.31333333333333,31299.166666666668,43480.833333333336,62330,92111.66666666667,131695.83333333334,11.058125505331393,0.5597150363376029
58,2012,41-9000,1385061.13,1372598.82,1271936.14,100662.68,613792.01,758806.81,0.552824903346486,777.590909090909,588.5,45.310303030303,46,91.5263404787133,81,58,24.98,51959.166666666664,10.237499999999999,12.309166666666666,17.052500000000002,29.266666666666666,50.005833333333335,21294.166666666668,25604.166666666668,35471.666666666664,60874.166666666664,104012.5,10.632403779077967,0.6238429214532591
59,2012,43-1000,1505566.03,1503739.82,1429584,74155.82,486667.3,1017072.52,0.676362031830746,884.716129032258,781,44.1915125136017,45,89.559794233553,81,59,28.544999999999998,59375.833333333336,16.440833333333334,20.745833333333334,26.7875,34.24666666666667,43.165,34199.166666666664,43149.166666666664,55718.333333333336,71230.83333333333,89783.33333333333,10.923855030330117,0.37549218274609847
60,2012,43-2000,89095.15,89095.15,82550.58,6544.57,24984.47,64110.68,0.719575420210864,631.222222222222,629,41.3636363636364,41.5,85.7244289952932,81,60,15.734166666666667,32727.5,10.4025,12.140833333333333,14.4675,17.926666666666666,23.114166666666666,21640,25250,30090,37287.5,48075.833333333336,10.347555334088893,0.30656364234750555
61,2012,43-3000,2829534.08,2801207.58999999,2603756.2,197451.39,428101.54,2373106.05,0.847172504626835,597.182142857143,577,43.7840845854201,45,85.7091605624274,81,61,19.125833333333333,39781.666666666664,12.046666666666667,14.669166666666667,18.070833333333333,22.581666666666667,27.7625,25055,30510.833333333332,37584.166666666664,46967.5,57744.166666666664,10.54199853698066,0.32446012795120865
62,2012,43-4000,2974776.73999999,2942233.90999999,2660887.74999999,281346.16,881010.49,2061223.42,0.700564089413272,584.386029411765,539,38.7179487179487,37,86.3819031845776,81,62,17.31,36004.166666666664,10.665,12.8275,16.060833333333335,20.470833333333335,25.883333333333333,22181.666666666668,26681.666666666668,33405.833333333336,42579.166666666664,53837.5,10.433617015745018,0.3460635693611209
