"","label","id","Interval","classification","acs_occ_code","median_edu","median_earnings","total_employment_2010","log_median_earnings","log_total_employment_2010","auto_prob_average","women_pct"
"179","massage therapists",178,NA,"Healthcare support",3630,7.6409035,11055.9,1682,9.310719501,7.427738841,0.54,0.837
"180","dental assistants",179,NA,"Healthcare support",3640,6.9372225,21863.23,3154,9.992561509,8.056426768,0.51,0.928
"181","medical assistants",180,NA,"Healthcare support",3645,7.058679,21405.12,4482,9.971385425,8.407824654,0.3,0.888
"182","healthcare support workers, all other, including medical equipment preparers",181,NA,"Healthcare support",3655,6.4663887,19733.27,1919,9.890061323,7.559559496,0.78,0.721
"183","medical transcriptionists",182,NA,"Healthcare support",3646,7.4133635,19543.84,883,9.880415426,6.783325201,0.89,0.888
"184","pharmacy aides",183,NA,"Healthcare support",3647,7.2313576,21141.24,523,9.958980914,6.259581464,0.72,0.888
"185","veterinary assistants and laboratory animal caretakers",184,NA,"Healthcare support",3648,6.9911504,13065.42,565,9.477724324,6.336825731,0.86,0.796
"186","phlebotomists",185,NA,"Healthcare support",3649,7.020388,22484.92,1030,10.02060014,6.937314081,0,0.903
"187","first-line supervisors of correctional officers",186,NA,"Protective service",3700,7.5340376,46302.78,852,10.74295728,6.747586527,0.025,0.359
"188","first-line supervisors of police and detectives",187,NA,"Protective service",3710,8.228378,67864.66,1480,11.12527071,7.299797367,0.0044,0.105
"189","first-line supervisors of fire fighting and prevention workers",188,NA,"Protective service",3720,7.758514,70343.59,646,11.16114694,6.470799504,0.0036,0.143
"190","firefighters",189,NA,"Protective service",3740,7.3985505,54774.79,3174,10.91098533,8.062747901,0.17,0.039
"191","fire inspectors",190,NA,"Protective service",3750,7.669456,41875.61,239,10.64245884,5.476463552,0.264,0.039
"192","bailiffs, correctional officers, and jailers",191,NA,"Protective service",3800,6.9853373,38591.07,5115,10.56077618,8.539932678,0.48,0.339
"193","detectives and criminal investigators",192,NA,"Protective service",3820,8.635105,62523.15,1373,11.04329217,7.224753406,0.34,0.263
"194","miscellaneous law enforcement workers",193,NA,"Protective service",3840,7.42029,28552.9,138,10.25951379,4.927253685,0.46,0.339
"195","police officers",194,NA,"Protective service",3850,7.853462,54088.8,7336,10.89838242,8.900549014,0.334,0.144
"196","animal control workers",195,NA,"Protective service",3900,7.025862,34883.62,116,10.45977266,4.753590191,0.21,0.339
"197","private detectives and investigators",196,NA,"Protective service",3910,8.57339,43226.04,947,10.67419837,6.853299093,0.31,0.43
"198","security guards and gaming surveillance officers",197,NA,"Protective service",3930,6.8085165,22920.44,11249,10.03978437,9.328034515,0.895,0.249
"199","crossing guards",198,NA,"Protective service",3940,6.031646,10940.56,948,9.300232263,6.854354502,0.49,0.558
"200","lifeguards and other recreational, and all other protective service workers",199,NA,"Protective service",3955,6.110964,6277.8,3776,8.74477488,8.236420527,0.67,0.457
"201","transportation security screeners",200,NA,"Protective service",3945,7.357377,30890.26,305,10.3381962,5.720311777,0,0.339
"202","chefs and head cooks",201,NA,"Food preparation and serving",4000,6.4393983,25486.52,3457,10.14590496,8.14815644,0.1,0.233
"203","first-line supervisors of food preparation and serving workers",202,NA,"Food preparation and serving",4010,6.60956,21105.55,6088,9.957291318,8.7140749,0.63,0.535
"204","cooks",203,NA,"Food preparation and serving",4020,5.613839,10973.47,27025,9.30323582,10.20451764,0.885,0.398
"205","food preparation workers",204,NA,"Food preparation and serving",4030,5.8236084,8264.1,10437,9.019676111,9.253112464,0.87,0.587
"206","bartenders",205,NA,"Food preparation and serving",4040,6.9407525,14902.28,4439,9.6092695,8.398184405,0.77,0.508
"207","combined food preparation and serving workers, including fast food",206,NA,"Food preparation and serving",4050,5.877736,8796.35,4523,9.082092142,8.416930769,0.92,0.663
"208","counter attendants, cafeteria, food concession, and coffee shop",207,NA,"Food preparation and serving",4060,5.7730412,4928.73,3472,8.502836627,8.152486076,0.96,0.663
"209","waiters and waitresses",208,NA,"Food preparation and serving",4110,6.447832,10075.33,25188,9.217845141,10.13412297,0.94,0.688
"210","food servers, nonrestaurant",209,NA,"Food preparation and serving",4120,6.0626554,12310.07,2410,9.418172906,7.787382026,0.86,0.692
